"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"BTVHNUS","201213","29.688","1","Battery Electric Light-Duty Vehicles","Thousands of Registered Vehicles"
"BTVHNUS","201313","85.706","1","Battery Electric Light-Duty Vehicles","Thousands of Registered Vehicles"
"BTVHNUS","201413","127.448","1","Battery Electric Light-Duty Vehicles","Thousands of Registered Vehicles"
"BTVHNUS","201513","194.84","1","Battery Electric Light-Duty Vehicles","Thousands of Registered Vehicles"
"BTVHNUS","201613","272.648","1","Battery Electric Light-Duty Vehicles","Thousands of Registered Vehicles"
"BTVHNUS","201713","353.348","1","Battery Electric Light-Duty Vehicles","Thousands of Registered Vehicles"
"BTVHNUS","201813","572.996","1","Battery Electric Light-Duty Vehicles","Thousands of Registered Vehicles"
"BTVHNUS","201913","755.735","1","Battery Electric Light-Duty Vehicles","Thousands of Registered Vehicles"
"BTVHNUS","202013","973.475","1","Battery Electric Light-Duty Vehicles","Thousands of Registered Vehicles"
"BTVHNUS","202113","1421.96","1","Battery Electric Light-Duty Vehicles","Thousands of Registered Vehicles"
"BTVHNUS","202213","2115.601","1","Battery Electric Light-Duty Vehicles","Thousands of Registered Vehicles"
"PHVHNUS","201213","64.674","2","Plug-In Hybrid Electric Light-Duty Vehicles","Thousands of Registered Vehicles"
"PHVHNUS","201313","108.946","2","Plug-In Hybrid Electric Light-Duty Vehicles","Thousands of Registered Vehicles"
"PHVHNUS","201413","158.762","2","Plug-In Hybrid Electric Light-Duty Vehicles","Thousands of Registered Vehicles"
"PHVHNUS","201513","196.657","2","Plug-In Hybrid Electric Light-Duty Vehicles","Thousands of Registered Vehicles"
"PHVHNUS","201613","239.019","2","Plug-In Hybrid Electric Light-Duty Vehicles","Thousands of Registered Vehicles"
"PHVHNUS","201713","368.288","2","Plug-In Hybrid Electric Light-Duty Vehicles","Thousands of Registered Vehicles"
"PHVHNUS","201813","491.195","2","Plug-In Hybrid Electric Light-Duty Vehicles","Thousands of Registered Vehicles"
"PHVHNUS","201913","561.17","2","Plug-In Hybrid Electric Light-Duty Vehicles","Thousands of Registered Vehicles"
"PHVHNUS","202013","612.995","2","Plug-In Hybrid Electric Light-Duty Vehicles","Thousands of Registered Vehicles"
"PHVHNUS","202113","774.913","2","Plug-In Hybrid Electric Light-Duty Vehicles","Thousands of Registered Vehicles"
"PHVHNUS","202213","936.878","2","Plug-In Hybrid Electric Light-Duty Vehicles","Thousands of Registered Vehicles"
"ELVHNUS","201213","94.362","3","Electric Light-Duty Vehicles","Thousands of Registered Vehicles"
"ELVHNUS","201313","194.652","3","Electric Light-Duty Vehicles","Thousands of Registered Vehicles"
"ELVHNUS","201413","286.21","3","Electric Light-Duty Vehicles","Thousands of Registered Vehicles"
"ELVHNUS","201513","391.497","3","Electric Light-Duty Vehicles","Thousands of Registered Vehicles"
"ELVHNUS","201613","511.667","3","Electric Light-Duty Vehicles","Thousands of Registered Vehicles"
"ELVHNUS","201713","721.636","3","Electric Light-Duty Vehicles","Thousands of Registered Vehicles"
"ELVHNUS","201813","1064.191","3","Electric Light-Duty Vehicles","Thousands of Registered Vehicles"
"ELVHNUS","201913","1316.905","3","Electric Light-Duty Vehicles","Thousands of Registered Vehicles"
"ELVHNUS","202013","1586.47","3","Electric Light-Duty Vehicles","Thousands of Registered Vehicles"
"ELVHNUS","202113","2196.873","3","Electric Light-Duty Vehicles","Thousands of Registered Vehicles"
"ELVHNUS","202213","3052.479","3","Electric Light-Duty Vehicles","Thousands of Registered Vehicles"
"HGVHNUS","201213","0.127","4","Hydrogen Fuel Cell Electric Light-Duty Vehicles","Thousands of Registered Vehicles"
"HGVHNUS","201313","0.177","4","Hydrogen Fuel Cell Electric Light-Duty Vehicles","Thousands of Registered Vehicles"
"HGVHNUS","201413","0.145","4","Hydrogen Fuel Cell Electric Light-Duty Vehicles","Thousands of Registered Vehicles"
"HGVHNUS","201513","0.204","4","Hydrogen Fuel Cell Electric Light-Duty Vehicles","Thousands of Registered Vehicles"
"HGVHNUS","201613","1.101","4","Hydrogen Fuel Cell Electric Light-Duty Vehicles","Thousands of Registered Vehicles"
"HGVHNUS","201713","4.623","4","Hydrogen Fuel Cell Electric Light-Duty Vehicles","Thousands of Registered Vehicles"
"HGVHNUS","201813","5.922","4","Hydrogen Fuel Cell Electric Light-Duty Vehicles","Thousands of Registered Vehicles"
"HGVHNUS","201913","7.626","4","Hydrogen Fuel Cell Electric Light-Duty Vehicles","Thousands of Registered Vehicles"
"HGVHNUS","202013","8.19","4","Hydrogen Fuel Cell Electric Light-Duty Vehicles","Thousands of Registered Vehicles"
"HGVHNUS","202113","11.398","4","Hydrogen Fuel Cell Electric Light-Duty Vehicles","Thousands of Registered Vehicles"
"HGVHNUS","202213","13.862","4","Hydrogen Fuel Cell Electric Light-Duty Vehicles","Thousands of Registered Vehicles"
"LDVHNUS","201213","231872.803","5","Light-Duty Vehicles, All Fuels","Thousands of Registered Vehicles"
"LDVHNUS","201313","237326.062","5","Light-Duty Vehicles, All Fuels","Thousands of Registered Vehicles"
"LDVHNUS","201413","240796.578","5","Light-Duty Vehicles, All Fuels","Thousands of Registered Vehicles"
"LDVHNUS","201513","248926.091","5","Light-Duty Vehicles, All Fuels","Thousands of Registered Vehicles"
"LDVHNUS","201613","251219.004","5","Light-Duty Vehicles, All Fuels","Thousands of Registered Vehicles"
"LDVHNUS","201713","257206.461","5","Light-Duty Vehicles, All Fuels","Thousands of Registered Vehicles"
"LDVHNUS","201813","259182.397","5","Light-Duty Vehicles, All Fuels","Thousands of Registered Vehicles"
"LDVHNUS","201913","261451.132","5","Light-Duty Vehicles, All Fuels","Thousands of Registered Vehicles"
"LDVHNUS","202013","259976.043","5","Light-Duty Vehicles, All Fuels","Thousands of Registered Vehicles"
"LDVHNUS","202113","263152.322","5","Light-Duty Vehicles, All Fuels","Thousands of Registered Vehicles"
"LDVHNUS","202213","263764.191","5","Light-Duty Vehicles, All Fuels","Thousands of Registered Vehicles"
"ELVHSUS","201213","0.040696","6","Electric Vehicle Share of Total Light-Duty Vehicles","Percent"
"ELVHSUS","201313","0.082019","6","Electric Vehicle Share of Total Light-Duty Vehicles","Percent"
"ELVHSUS","201413","0.11886","6","Electric Vehicle Share of Total Light-Duty Vehicles","Percent"
"ELVHSUS","201513","0.157274","6","Electric Vehicle Share of Total Light-Duty Vehicles","Percent"
"ELVHSUS","201613","0.203674","6","Electric Vehicle Share of Total Light-Duty Vehicles","Percent"
"ELVHSUS","201713","0.280567","6","Electric Vehicle Share of Total Light-Duty Vehicles","Percent"
"ELVHSUS","201813","0.410595","6","Electric Vehicle Share of Total Light-Duty Vehicles","Percent"
"ELVHSUS","201913","0.503691","6","Electric Vehicle Share of Total Light-Duty Vehicles","Percent"
"ELVHSUS","202013","0.610237","6","Electric Vehicle Share of Total Light-Duty Vehicles","Percent"
"ELVHSUS","202113","0.834829","6","Electric Vehicle Share of Total Light-Duty Vehicles","Percent"
"ELVHSUS","202213","1.157276","6","Electric Vehicle Share of Total Light-Duty Vehicles","Percent"
